,bioma,riscofogo,precipitacao
2014-09-16,Amazonia,2357.0,1.8967100229533245
2014-09-17,Amazonia,2696.0,4.073209904082066
2014-09-18,Amazonia,1972.0,6.095216886134756
2014-09-19,Amazonia,1958.0,2.000111376292791
2014-09-20,Amazonia,2358.0,1.1484880879658088
2014-09-21,Amazonia,1444.0,1.960698940131775
2014-09-22,Amazonia,2226.0,1.3466440948018474
2014-09-23,Amazonia,2652.0,3.0479436709873315
2014-09-24,Amazonia,1159.0,1.9951334702259036
2014-09-25,Amazonia,1268.0,1.2067344092448788
2014-09-26,Amazonia,1325.0,0.7703971119133535
2014-09-27,Amazonia,4192.0,0.9669905989225889
2014-09-28,Amazonia,2584.0,1.2561194029850946
2014-09-29,Amazonia,2202.0,0.723404947916659
2014-09-30,Amazonia,1885.0,1.2231110407096601
2014-10-01,Amazonia,2484.0,1.9558766282377962
2014-10-02,Amazonia,2111.0,6.352139854795557
2014-10-03,Amazonia,500.0,8.37679623085983
2014-10-04,Amazonia,444.0,1.5407651715039508
2014-10-05,Amazonia,840.0,0.8651328273244784
2014-10-06,Amazonia,1839.0,0.3413116970926297
2014-10-07,Amazonia,3729.0,0.3648145632386842
2014-10-08,Amazonia,5262.0,0.3434634007405203
2014-10-09,Amazonia,3681.0,0.35802768659910417
2014-10-10,Amazonia,4267.0,0.6080040398939552
2014-10-11,Amazonia,2730.0,2.392363410596046
2014-10-12,Amazonia,1691.0,3.004589447393097
2014-10-13,Amazonia,1213.0,2.2533031988873518
2014-10-14,Amazonia,1656.0,1.443725775193798
2014-10-15,Amazonia,2794.0,1.0833735354927683
2014-10-16,Amazonia,1559.0,0.9935718809373002
2014-10-17,Amazonia,1892.0,1.498153846153849
2014-10-18,Amazonia,2400.0,1.417401259301663
2014-10-19,Amazonia,1921.0,1.5589447806354093
2014-10-20,Amazonia,1356.0,1.7870458531696403
2014-10-21,Amazonia,1080.0,2.338755591703948
2014-10-22,Amazonia,556.0,6.879079903147718
2014-10-23,Amazonia,554.0,4.851172707889161
2014-10-24,Amazonia,959.0,1.7492455993294174
2014-10-25,Amazonia,1158.0,1.0967741935483797
2014-10-26,Amazonia,1201.0,0.3198529411764735
2014-10-27,Amazonia,1400.0,0.36145081655905925
2014-10-28,Amazonia,1369.0,0.38852005532503625
2014-10-29,Amazonia,1149.0,0.41377183967111464
2014-10-30,Amazonia,1222.0,0.2535861500412215
2014-10-31,Amazonia,2334.0,0.461435748281318
